LAST SEEN   TYPE      REASON                         OBJECT                                 MESSAGE
26m         Normal    SuccessfulRescale              horizontalpodautoscaler/php-apache     New size: 7; reason: cpu resource utilization (percentage of request) above target
26m         Normal    ScalingReplicaSet              deployment/php-apache                  Scaled up replica set php-apache-6f9b6b7987 from 5 to 7
26m         Normal    SuccessfulCreate               replicaset/php-apache-6f9b6b7987       Created pod: php-apache-6f9b6b7987-rj8m4
26m         Normal    SuccessfulCreate               replicaset/php-apache-6f9b6b7987       Created pod: php-apache-6f9b6b7987-c76xx
26m         Normal    Pulling                        pod/php-apache-6f9b6b7987-rj8m4        Pulling image "registry.k8s.io/hpa-example"
26m         Normal    Pulling                        pod/php-apache-6f9b6b7987-c76xx        Pulling image "registry.k8s.io/hpa-example"
26m         Normal    Pulled                         pod/php-apache-6f9b6b7987-c76xx        Successfully pulled image "registry.k8s.io/hpa-example" in 2.723s (2.723s including waiting). Image size: 164030864 bytes.
26m         Normal    Started                        pod/php-apache-6f9b6b7987-c76xx        Started container php-apache
26m         Normal    Created                        pod/php-apache-6f9b6b7987-c76xx        Created container: php-apache
26m         Normal    Pulled                         pod/php-apache-6f9b6b7987-rj8m4        Successfully pulled image "registry.k8s.io/hpa-example" in 3.378s (6.001s including waiting). Image size: 164030864 bytes.
26m         Normal    Created                        pod/php-apache-6f9b6b7987-rj8m4        Created container: php-apache
26m         Normal    Started                        pod/php-apache-6f9b6b7987-rj8m4        Started container php-apache
19m         Normal    SuccessfulCreate               replicaset/crashloop-demo-579dd5cddb   Created pod: crashloop-demo-579dd5cddb-kntxt
19m         Normal    ScalingReplicaSet              deployment/crashloop-demo              Scaled up replica set crashloop-demo-579dd5cddb from 0 to 1
19m         Normal    Pulling                        pod/crashloop-demo-579dd5cddb-kntxt    Pulling image "busybox:1.36.1"
19m         Normal    Pulled                         pod/crashloop-demo-579dd5cddb-kntxt    Successfully pulled image "busybox:1.36.1" in 2.908s (2.908s including waiting). Image size: 2217150 bytes.
18m         Normal    SuccessfulRescale              horizontalpodautoscaler/php-apache     New size: 6; reason: All metrics below target
18m         Normal    ScalingReplicaSet              deployment/php-apache                  Scaled down replica set php-apache-6f9b6b7987 from 7 to 6
18m         Normal    Killing                        pod/php-apache-6f9b6b7987-c76xx        Stopping container php-apache
18m         Normal    SuccessfulDelete               replicaset/php-apache-6f9b6b7987       Deleted pod: php-apache-6f9b6b7987-c76xx
18m         Normal    SuccessfulRescale              horizontalpodautoscaler/php-apache     New size: 3; reason: All metrics below target
17m         Normal    Killing                        pod/php-apache-6f9b6b7987-rj8m4        Stopping container php-apache
17m         Normal    SuccessfulDelete               replicaset/php-apache-6f9b6b7987       Deleted pod: php-apache-6f9b6b7987-rj8m4
17m         Normal    SuccessfulDelete               replicaset/php-apache-6f9b6b7987       Deleted pod: php-apache-6f9b6b7987-6vj8c
17m         Normal    Killing                        pod/php-apache-6f9b6b7987-6vj8c        Stopping container php-apache
17m         Normal    ScalingReplicaSet              deployment/php-apache                  Scaled down replica set php-apache-6f9b6b7987 from 6 to 3
17m         Normal    SuccessfulDelete               replicaset/php-apache-6f9b6b7987       Deleted pod: php-apache-6f9b6b7987-fcrcs
17m         Normal    Killing                        pod/php-apache-6f9b6b7987-fcrcs        Stopping container php-apache
17m         Normal    SuccessfulDelete               replicaset/php-apache-6f9b6b7987       Deleted pod: php-apache-6f9b6b7987-vtgg6
17m         Normal    SuccessfulRescale              horizontalpodautoscaler/php-apache     New size: 1; reason: All metrics below target
17m         Normal    ScalingReplicaSet              deployment/php-apache                  Scaled down replica set php-apache-6f9b6b7987 from 3 to 1
17m         Normal    Killing                        pod/php-apache-6f9b6b7987-vtgg6        Stopping container php-apache
17m         Normal    Killing                        pod/php-apache-6f9b6b7987-w9vl5        Stopping container php-apache
17m         Normal    SuccessfulDelete               replicaset/php-apache-6f9b6b7987       Deleted pod: php-apache-6f9b6b7987-w9vl5
14m         Normal    Pulling                        pod/imagepull-demo                     Pulling image "nginx:not-a-real-tag"
14m         Warning   Failed                         pod/imagepull-demo                     Failed to pull image "nginx:not-a-real-tag": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:not-a-real-tag": failed to resolve reference "docker.io/library/nginx:not-a-real-tag": docker.io/library/nginx:not-a-real-tag: not found
14m         Warning   Failed                         pod/imagepull-demo                     Error: ErrImagePull
14m         Normal    BackOff                        pod/imagepull-demo                     Back-off pulling image "nginx:not-a-real-tag"
14m         Warning   Failed                         pod/imagepull-demo                     Error: ImagePullBackOff
13m         Normal    Pulling                        pod/imagepull-demo                     Pulling image "nginx:1.25"
10m         Normal    Pulled                         pod/imagepull-demo                     Successfully pulled image "nginx:1.25" in 2m44.672s (2m44.672s including waiting). Image size: 71005258 bytes.
10m         Normal    Created                        pod/imagepull-demo                     Created container: badimage
10m         Normal    Started                        pod/imagepull-demo                     Started container badimage
9m26s       Normal    Killing                        pod/imagepull-demo                     Container badimage definition changed, will be restarted
8m52s       Normal    BackOff                        pod/imagepull-demo                     Back-off pulling image "nginx-not-real-image"
8m52s       Warning   Failed                         pod/imagepull-demo                     Error: ImagePullBackOff
6m48s       Warning   BackOff                        pod/imagepull-demo                     Back-off restarting failed container badimage in pod imagepull-demo_dev(462a1dfc-92cc-4699-852f-292d093fa80e)
6m34s       Normal    Pulling                        pod/imagepull-demo                     Pulling image "nginx-not-real-image"
6m32s       Warning   Failed                         pod/imagepull-demo                     Failed to pull image "nginx-not-real-image": failed to pull and unpack image "docker.io/library/nginx-not-real-image:latest": failed to resolve reference "docker.io/library/nginx-not-real-image:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
6m32s       Warning   Failed                         pod/imagepull-demo                     Error: ErrImagePull
4m20s       Warning   BackOff                        pod/crashloop-demo-579dd5cddb-kntxt    Back-off restarting failed container demo in pod crashloop-demo-579dd5cddb-kntxt_dev(84e90ef5-f494-425f-83ab-ff4587abfa61)
3m59s       Normal    Pulling                        pod/imagepull-demo                     Pulling image "nginx-not-real-image"
3m58s       Warning   Failed                         pod/imagepull-demo                     Failed to pull image "nginx-not-real-image": failed to pull and unpack image "docker.io/library/nginx-not-real-image:latest": failed to resolve reference "docker.io/library/nginx-not-real-image:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
3m58s       Warning   Failed                         pod/imagepull-demo                     Error: ErrImagePull
3m45s       Normal    BackOff                        pod/imagepull-demo                     Back-off pulling image "nginx-not-real-image"
3m45s       Warning   Failed                         pod/imagepull-demo                     Error: ImagePullBackOff
2m59s       Normal    Pulled                         pod/imagepull-demo                     Container image "nginx:1.25" already present on machine
2m59s       Normal    Created                        pod/imagepull-demo                     Created container: badimage
2m58s       Normal    Started                        pod/imagepull-demo                     Started container badimage
2m44s       Normal    Pulled                         pod/crashloop-demo-579dd5cddb-kntxt    Container image "busybox:1.36.1" already present on machine
2m44s       Normal    Started                        pod/crashloop-demo-579dd5cddb-kntxt    Started container demo
2m44s       Normal    Created                        pod/crashloop-demo-579dd5cddb-kntxt    Created container: demo
